categoria,servicio,descripcion,precio_referencial_clp,duracion_estimada,modalidad,publico,observaciones
Consulta,Consulta general veterinaria,"Evaluación clínica general para perros y gatos. Incluye revisión básica, orientación inicial y recomendación de próximos pasos si corresponde.",25000,"30 minutos","Presencial","Cliente externo","No incluye exámenes, medicamentos ni procedimientos adicionales."
Consulta,Control veterinario,"Control posterior a una consulta, tratamiento o procedimiento realizado previamente en la clínica.",15000,"20 minutos","Presencial","Cliente externo","El valor puede variar según indicación del médico veterinario."
Vacunación,Vacuna séxtuple canina,"Vacuna preventiva para perros según calendario sanitario general.",18000,"20 minutos","Presencial","Cliente externo","Debe ser indicada y aplicada por personal veterinario autorizado."
Vacunación,Vacuna antirrábica,"Vacuna preventiva contra la rabia para perros y gatos.",16000,"20 minutos","Presencial","Cliente externo","Se recomienda llevar carnet sanitario si existe."
Vacunación,Vacuna triple felina,"Vacuna preventiva para gatos según calendario sanitario general.",18000,"20 minutos","Presencial","Cliente externo","Debe evaluarse el estado general del paciente antes de aplicar."
Peluquería,Baño sanitario perro pequeño,"Servicio de baño, secado y limpieza básica para perro pequeño.",18000,"60 a 90 minutos","Presencial con agenda","Cliente externo","El precio puede variar según condición del pelaje."
Peluquería,Baño sanitario perro mediano,"Servicio de baño, secado y limpieza básica para perro mediano.",22000,"90 minutos","Presencial con agenda","Cliente externo","El precio puede variar según condición del pelaje."
Peluquería,Baño y corte perro pequeño,"Servicio de baño, secado y corte de pelo para perro pequeño.",28000,"90 a 120 minutos","Presencial con agenda","Cliente externo","Requiere agendamiento previo."
Peluquería,Baño y corte perro mediano,"Servicio de baño, secado y corte de pelo para perro mediano.",35000,"120 minutos","Presencial con agenda","Cliente externo","Mascotas agresivas o muy estresadas pueden requerir evaluación previa."
Farmacia,Venta de antiparasitarios,"Disponibilidad de antiparasitarios internos y externos según peso, especie y necesidad del paciente.","Variable","Según atención","Presencial","Cliente externo","La recomendación debe ser confirmada por personal de la clínica."
Farmacia,Medicamentos veterinarios,"Venta de medicamentos veterinarios disponibles en farmacia interna.","Variable","Según atención","Presencial","Cliente externo","Algunos medicamentos requieren receta o indicación veterinaria."
Laboratorio,Hemograma básico,"Examen de sangre básico para apoyo diagnóstico solicitado por médico veterinario.",22000,"Según toma de muestra","Presencial","Cliente externo","No se interpreta sin evaluación veterinaria."
Laboratorio,Perfil bioquímico básico,"Examen complementario para evaluar parámetros generales de salud.",30000,"Según toma de muestra","Presencial","Cliente externo","Debe ser solicitado o validado por médico veterinario."
Urgencia,Atención de urgencia veterinaria,"Evaluación prioritaria para casos que requieren atención rápida.",40000,"Según gravedad","Presencial","Cliente externo","No reemplaza hospitalización ni procedimientos. En riesgo vital acudir de inmediato."
Agenda,Solicitud de hora,"Registro de solicitud para consulta, vacunación, peluquería o control.","Sin costo","Según disponibilidad","WhatsApp o presencial","Cliente externo","La hora queda confirmada solo cuando la clínica responde."
