categoria,servicio,descripcion,precio_referencial_clp,duracion_estimada,modalidad,publico,observaciones
Consulta,Consulta general veterinaria,"Evaluación clínica general para perros y gatos. Incluye revisión básica, orientación inicial y recomendación de próximos pasos si corresponde.",25000,"30 minutos","Presencial","Cliente externo","No incluye exámenes, medicamentos ni procedimientos adicionales."
Consulta,Control veterinario,"Control posterior a una consulta, tratamiento o procedimiento realizado previamente en la clínica.",15000,"20 minutos","Presencial","Cliente externo","El valor puede variar según indicación del médico veterinario."
Vacunación,Vacuna séxtuple canina,"Vacuna preventiva para perros según calendario sanitario general.",18000,"20 minutos","Presencial","Cliente externo","Debe ser indicada y aplicada por personal veterinario autorizado."
Vacunación,Vacuna antirrábica,"Vacuna preventiva contra la rabia para perros y gatos.",16000,"20 minutos","Presencial","Cliente externo","Se recomienda llevar carnet sanitario si existe."
Vacunación,Vacuna triple felina,"Vacuna preventiva para gatos según calendario sanitario general.",18000,"20 minutos","Presencial","Cliente externo","Debe evaluarse el estado general del paciente antes de aplicar."
Peluquería,Baño sanitario perro pequeño,"Servicio de baño, secado y limpieza básica para perro pequeño.",18000,"60 a 90 minutos","Presencial con agenda","Cliente externo","El precio puede variar según condición del pelaje."
Peluquería,Baño sanitario perro mediano,"Servicio de baño, secado y limpieza básica para perro mediano.",22000,"90 minutos","Presencial con agenda","Cliente externo","El precio puede variar según condición del pelaje."
Peluquería,Baño y corte perro pequeño,"Servicio de baño, secado y corte de pelo para perro pequeño.",28000,"90 a 120 minutos","Presencial con agenda","Cliente externo","Requiere agendamiento previo."
Peluquería,Baño y corte perro mediano,"Servicio de baño, secado y corte de pelo para perro mediano.",35000,"120 minutos","Presencial con agenda","Cliente externo","Mascotas agresivas o muy estresadas pueden requerir evaluación previa."
Farmacia,Venta de antiparasitarios,"Venta presencial de antiparasitarios internos y externos según disponibilidad de stock.","Variable","Según atención","Presencial","Cliente externo","La recomendación debe ser confirmada por personal de la clínica. No es venta online."
Farmacia,Medicamentos veterinarios,"Venta presencial de medicamentos veterinarios disponibles en farmacia interna.","Variable","Según atención","Presencial","Cliente externo","Algunos medicamentos requieren receta o indicación veterinaria. El asistente no procesa compras ni pedidos."
Laboratorio,Hemograma básico,"Examen de sangre básico para apoyo diagnóstico solicitado por médico veterinario.",22000,"Según toma de muestra","Presencial","Cliente externo","No se interpreta sin evaluación veterinaria."
Laboratorio,Perfil bioquímico básico,"Examen complementario para evaluar parámetros generales de salud.",30000,"Según toma de muestra","Presencial","Cliente externo","Debe ser solicitado o validado por médico veterinario."
Urgencia,Atención de urgencia veterinaria,"Evaluación prioritaria para casos que requieren atención rápida.",40000,"Según gravedad","Presencial","Cliente externo","No reemplaza hospitalización ni procedimientos. En riesgo vital acudir de inmediato."
Agenda,Solicitud o confirmación de hora,"Gestión de hora para consulta, vacunación, peluquería o control.","Sin costo","Según disponibilidad","Agenda conectada o solicitud asistida","Cliente externo","El agente solo puede confirmar una hora si la disponibilidad fue validada por calendario o por la clínica. Si no existe validación, solo registra solicitud pendiente."
Pet Shop,Alimentos para perros,"Venta presencial de alimentos para perros según disponibilidad de stock.","Variable","Según atención","Presencial","Cliente externo","No es carrito de compra. No hay venta online desde el agente. El cliente puede consultar y comprar presencialmente en la clínica."
Pet Shop,Alimentos para gatos,"Venta presencial de alimentos para gatos según disponibilidad de stock.","Variable","Según atención","Presencial","Cliente externo","No es carrito de compra. No hay venta online desde el agente. La disponibilidad puede variar por marca, formato y stock."
Pet Shop,Snacks y premios para mascotas,"Venta presencial de snacks, premios y productos complementarios para perros y gatos.","Variable","Según atención","Presencial","Cliente externo","El agente puede mencionarlos como recordatorio comercial, no como venta directa."
Pet Shop,Arena sanitaria para gatos,"Venta presencial de arena sanitaria para gatos según disponibilidad.","Variable","Según atención","Presencial","Cliente externo","El asistente no debe confirmar stock exacto si no existe registro actualizado."
Pet Shop,Accesorios para mascotas,"Venta presencial de accesorios como correas, collares, platos, juguetes y artículos básicos de cuidado.","Variable","Según atención","Presencial","Cliente externo","El agente puede sugerir consultar estos productos durante la visita a la clínica."
Pet Shop,Productos de higiene,"Venta presencial de shampoo, limpiadores óticos, cepillos y productos básicos de higiene para mascotas.","Variable","Según atención","Presencial","Cliente externo","Algunos productos deben usarse con orientación veterinaria si la mascota presenta lesiones o problemas de piel."
